date,data_type,interpolated,source,usd_ngn,usdt_ngn_estimate
2000-01-01,yearly_official,False,World Bank,101.697333333333,101.697333333333
2000-01-02,interpolated,True,interpolated,101.72,101.72
2000-01-03,interpolated,True,interpolated,101.75,101.75
2000-01-04,interpolated,True,interpolated,101.78,101.78
2000-01-05,interpolated,True,interpolated,101.8,101.8
2000-01-06,interpolated,True,interpolated,101.83,101.83
2000-01-07,interpolated,True,interpolated,101.85,101.85
2000-01-08,interpolated,True,interpolated,101.88,101.88
2000-01-09,interpolated,True,interpolated,101.91,101.91
2000-01-10,interpolated,True,interpolated,101.93,101.93
2000-01-11,interpolated,True,interpolated,101.96,101.96
2000-01-12,interpolated,True,interpolated,101.98,101.98
2000-01-13,interpolated,True,interpolated,102.01,102.01
2000-01-14,interpolated,True,interpolated,102.04,102.04
2000-01-15,interpolated,True,interpolated,102.06,102.06
2000-01-16,interpolated,True,interpolated,102.09,102.09
2000-01-17,interpolated,True,interpolated,102.11,102.11
2000-01-18,interpolated,True,interpolated,102.14,102.14
2000-01-19,interpolated,True,interpolated,102.17,102.17
2000-01-20,interpolated,True,interpolated,102.19,102.19
2000-01-21,interpolated,True,interpolated,102.22,102.22
2000-01-22,interpolated,True,interpolated,102.24,102.24
2000-01-23,interpolated,True,interpolated,102.27,102.27
2000-01-24,interpolated,True,interpolated,102.3,102.3
2000-01-25,interpolated,True,interpolated,102.32,102.32
2000-01-26,interpolated,True,interpolated,102.35,102.35
2000-01-27,interpolated,True,interpolated,102.37,102.37
2000-01-28,interpolated,True,interpolated,102.4,102.4
2000-01-29,interpolated,True,interpolated,102.43,102.43
2000-01-30,interpolated,True,interpolated,102.45,102.45
2000-01-31,interpolated,True,interpolated,102.48,102.48
2000-02-01,interpolated,True,interpolated,102.5,102.5
2000-02-02,interpolated,True,interpolated,102.53,102.53
2000-02-03,interpolated,True,interpolated,102.56,102.56
2000-02-04,interpolated,True,interpolated,102.58,102.58
2000-02-05,interpolated,True,interpolated,102.61,102.61
2000-02-06,interpolated,True,interpolated,102.64,102.64
2000-02-07,interpolated,True,interpolated,102.66,102.66
2000-02-08,interpolated,True,interpolated,102.69,102.69
2000-02-09,interpolated,True,interpolated,102.71,102.71
2000-02-10,interpolated,True,interpolated,102.74,102.74
2000-02-11,interpolated,True,interpolated,102.77,102.77
2000-02-12,interpolated,True,interpolated,102.79,102.79
