exchange,side,price,min_amount,max_amount,available,payment_ids,merchant,orders,completion_rate,currency,asset,timestamp
bybit,buy,1462.99,4500.0,4500.0,208.0914,14,𝐃𝐀𝐌𝐑𝐀𝐁💸𝐅𝐀𝐒𝐓𝐏𝐀𝐘💎,122,99,NGN,USDT,2026-01-04T00:08:54.130822
bybit,buy,1463.0,4500.0,9000.0,121.4389,14,"MAMMAM,",85,100,NGN,USDT,2026-01-04T00:08:54.130879
bybit,buy,1463.0,4500.0,5000.0,8.6943,14,Mzorpaysharp💯💔💥,233,99,NGN,USDT,2026-01-04T00:08:54.130890
bybit,buy,1465.0,4500.0,9950.0,409.2705,522,Hopetunes,136,92,NGN,USDT,2026-01-04T00:08:54.130901
bybit,buy,1466.5,1000000.0,22651919.17,15446.2456,14,2min_man,29,100,NGN,USDT,2026-01-04T00:08:54.130911
bybit,buy,1466.5,8000.0,8049.03,5.4886,14,Geral-Dine ,11,100,NGN,USDT,2026-01-04T00:08:54.130920
bybit,buy,1468.9,500000.0,937850.49,638.4713,14,vickz_Trader,3152,98,NGN,USDT,2026-01-04T00:08:54.130930
bybit,buy,1469.0,10000.0,72598.42,49.4203,14,Oficial_PtP_Bot,1723,100,NGN,USDT,2026-01-04T00:08:54.130940
bybit,buy,1469.0,5000.0,9999.0,62.6839,14,Ibrahim Kende,183,96,NGN,USDT,2026-01-04T00:08:54.130949
bybit,buy,1469.5,150000.0,2326183.96,1582.9765,14,Marvy,1482,97,NGN,USDT,2026-01-04T00:08:54.130960
bybit,buy,1469.5,4500.0,9900.0,14.9715,14,Hernandez25,792,90,NGN,USDT,2026-01-04T00:08:54.130969
bybit,buy,1469.5,50000.0,200000.0,460.1933,14,crypto_doctor🥇,381,96,NGN,USDT,2026-01-04T00:08:54.130978
bybit,buy,1469.7,4500.0,17118.62,11.6477,14,@Abuharis,1586,99,NGN,USDT,2026-01-04T00:08:54.130988
bybit,buy,1469.7,10000.0,79253.27,53.9248,14,Primmybtc,80,98,NGN,USDT,2026-01-04T00:08:54.130997
bybit,buy,1469.7,20000.0,230955.56,157.1447,470,AB-MAITAYA,1846,98,NGN,USDT,2026-01-04T00:08:54.131007
bybit,buy,1469.7,4500.0,5000.0,18.0604,14,Unstopable,13,86,NGN,USDT,2026-01-04T00:08:54.131015
bybit,buy,1469.9,130000.0,253950.94,172.7675,14,Abu mutmahinat,1029,99,NGN,USDT,2026-01-04T00:08:54.131023
bybit,buy,1469.98,40000.0,100000.0,329.4812,14,Powertech9,653,99,NGN,USDT,2026-01-04T00:08:54.131032
bybit,buy,1469.99,20000.0,194907.15,132.5908,14,muslim007,29,100,NGN,USDT,2026-01-04T00:08:54.131041
bybit,buy,1469.99,4500.0,15000.0,148.926,520,Smart☝️,89,100,NGN,USDT,2026-01-04T00:08:54.131050
bybit,sell,1573.38,20000000.0,23000000.0,50000.0,"470, 518, 486, 520, 14",mR.ßriliïâñT,232,100,NGN,USDT,2026-01-04T00:09:02.545297
bybit,sell,1573.38,23000000.0,23000000.0,20000.0,520,Pepe____coin,44,100,NGN,USDT,2026-01-04T00:09:02.545318
bybit,sell,1475.0,20000000.0,23000000.0,40545.0,"512, 470, 520",Sam fast pay⚡⚡⚡,1385,95,NGN,USDT,2026-01-04T00:09:02.545326
bybit,sell,1472.0,10000.0,73600.0,50.0,14,DriXchange,18,100,NGN,USDT,2026-01-04T00:09:02.545333
bybit,sell,1471.0,1000000.0,1471000.0,1000.0,14,IBRO BITCOIN,1,100,NGN,USDT,2026-01-04T00:09:02.545338
bybit,sell,1465.9,1000000.0,23000000.0,42837.6335,14,donviky19,381,63,NGN,USDT,2026-01-04T00:09:02.545345
bybit,sell,1464.7,300000.0,4758312.3,3248.66,14,Mr.Babs,802,100,NGN,USDT,2026-01-04T00:09:02.545351
bybit,sell,1464.63,2000000.0,23000000.0,36719.4692,"530, 518, 520, 521, 14",RichyBoss,502,98,NGN,USDT,2026-01-04T00:09:02.545357
bybit,sell,1464.4,250000.0,16037551.59,10951.6195,14,Gateway_xchange,14110,92,NGN,USDT,2026-01-04T00:09:02.545363
